"","Time","TMPM","Rain","LF","VP","Sat_def","Rad_Int","GlobRad","Wind","TMPMN","TMPMX"
"200",34534,19.6,0,56.5,12.8,9.9,307.3,26.55,3.8,12.7,25.8
"201",34535,20.3,0,51,12.1,11.7,315,27.21,2.2,11.1,27
"202",34536,21.5,0,49.1,12.5,13.1,312,26.95,1.3,11,29.3
"203",34537,23.4,0,50.3,14.3,14.3,303.8,26.25,1.1,12.2,31.9
"204",34538,24.9,0,49.1,15.2,16,298.2,25.77,1.2,14.3,33.1
"205",34539,25.8,0,40.4,13.3,19.8,293.3,25.34,2.5,16.3,33.8
"206",34540,26.3,0,44.7,15.1,19,280.7,24.25,2.7,17,34.7
"207",34541,25.4,0,57.8,18.6,13.6,282.5,24.41,2.3,18.1,31.6
"208",34542,25.4,0,54.3,17.4,14.8,288.7,24.95,1.2,16.5,32.8
"209",34543,27.8,0.8,50.8,18.7,18.3,283.9,24.53,2.9,19.1,34.8
"210",34544,22.5,0,68.5,18.6,8.6,265.7,22.95,2.6,18.4,27.7
"211",34545,24.6,0,66.2,20.3,10.5,199,17.19,2.2,18.1,31.6
"212",34546,26.4,0,59.7,20.3,13.9,259.4,22.41,1.5,17.2,34.6
"213",34547,25.4,0.4,61,19.7,12.6,235.3,20.33,2.3,19.1,33.7
"214",34548,21.1,0,64.3,16,8.9,248.3,21.45,2.2,18.2,27.8
"215",34549,23.3,0,57.6,16.3,12.2,264.8,22.88,1.5,13.3,30.2
"216",34550,26.5,0,45.3,15.5,18.9,283.3,24.48,2.5,16.9,33.4
"217",34551,25.2,9,57.3,18.3,13.6,245.5,21.21,2.7,19.2,36.6
"218",34552,20.5,0,73.1,17.5,6.5,201,17.37,2,18,26.2
"219",34553,19.3,0,67.3,14.9,7.3,232.1,20.06,1.6,13,24.7
"220",34554,19.2,0,66,14.6,7.6,218.1,18.85,1.1,11.9,25
"221",34555,18.1,0,68.1,14.1,6.6,264.7,22.87,1.6,13.2,24.6
"222",34556,22.2,6.4,57.3,15.2,11.5,171.1,14.78,2.7,11.6,27.5
"223",34557,18.8,13.9,88.5,19,2.6,71.4,6.17,1.5,17.4,23.2
"224",34558,18.4,5.1,74.7,15.7,5.3,160,13.83,3.5,15.8,23.4
"225",34559,14.2,2,77.8,12.6,3.6,144,12.44,5.9,12.5,18.3
"226",34560,12.5,12,78.3,11.3,3.1,154.1,13.32,5.6,10.8,16.7
"227",34561,13.7,0,72.9,11.3,4.3,135.1,11.67,4.1,11.2,18.4
"228",34562,15,0,68.8,11.6,5.3,225.4,19.47,1.3,7.3,20.9
"229",34563,16.1,10.8,72.6,13.3,5,198.7,17.17,2.6,10.2,24
"230",34564,13.5,14.5,81.6,12.6,2.8,115.4,9.97,4.1,11.1,16.5
"231",34565,15.8,0.1,82.3,14.7,3.2,148.3,12.81,4.5,12.1,19.2
"232",34566,16.6,0,72.1,13.6,5.3,206.3,17.83,3.2,12.3,21.3
"233",34567,15.4,0,76.1,13.3,4.2,172.2,14.88,1.3,11.8,21.1
"234",34568,17.2,0,70.3,13.7,5.9,240.4,20.77,1.4,8.4,24.2
"235",34569,19.7,15.8,68.2,15.5,7.4,221.4,19.13,3,12.6,25.9
"236",34570,17.8,5.7,84.1,17,3.3,132.9,11.48,1.8,15,22
"237",34571,14.7,5.8,92.8,15.5,1.2,52.7,4.55,1.8,12.7,18.2
"238",34572,17.8,1.1,78.4,15.8,4.4,215.8,18.65,2,9.5,23.2
"239",34573,18,18.4,82.9,17,3.5,122.3,10.57,3.1,16,21.9
"240",34574,15.3,1.2,73.7,12.7,4.6,178,15.38,3.5,13.7,19
"241",34575,14.7,1.6,70.2,11.6,5,175.3,15.14,4.9,10.6,18.8
"242",34576,14.5,0,76.3,12.6,4,190.8,16.48,1.6,9.1,19.6
"243",34577,16.6,0.3,68.9,12.9,5.9,210.6,18.19,2.5,9.2,22.3
"244",34578,16.9,15.3,82.8,15.8,3.4,112.4,9.71,2,14,22.4
"245",34579,15.9,1.9,78.9,14.2,3.8,176.3,15.23,2.1,11.6,23.1
"246",34580,14.8,5.5,88,14.7,2,70.3,6.08,3,11,16.8
"247",34581,16.2,1.8,84.7,15.5,2.8,129.2,11.16,3.4,13.8,19.7
"248",34582,14,0.4,87.9,14,1.9,76.6,6.61,3.2,12.8,16.8
"249",34583,13.6,2,76.4,11.8,3.7,132.6,11.46,2.3,9.6,17.6
"250",34584,13.7,0.5,87.4,13.6,2,77,6.65,1.4,11.1,16.2
"251",34585,14.5,3.7,89.2,14.6,1.8,58.9,5.09,2.4,11,17.6
"252",34586,13.3,1.7,79.2,12,3.2,130.2,11.25,5.1,11.7,16.5
"253",34587,13.5,3.3,71.3,11,4.5,142.1,12.28,4.4,10.5,17.9
"254",34588,13.3,0.1,73.4,11.2,4.1,154.4,13.34,3.9,10.1,17.3
"255",34589,14.7,7.4,92.6,15.4,1.2,76.4,6.61,2.2,11.5,18.5
"256",34590,13.4,0,76,11.7,3.7,185.2,16,3.2,10.7,19.7
"257",34591,15.8,9.2,78.2,13.9,3.9,157.6,13.62,3.5,7,20.5
"258",34592,13.8,1.9,73.5,11.5,4.2,52.9,4.57,6.6,12.4,16.3
"259",34593,11.7,4.8,88,12,1.6,46.8,4.05,7.1,10.7,14.1
"260",34594,10.7,1.5,86,11.1,1.8,49.6,4.29,5.5,9.9,12
"261",34595,11.7,1.5,91.2,12.5,1.2,54.3,4.69,2,10.4,14
"262",34596,11.3,0,91.2,12.1,1.2,50.2,4.34,1.3,9.9,13.7
"263",34597,11.6,0,81.4,11.1,2.5,167.6,14.48,2.2,6.8,17.2
"264",34598,11.7,0,83.9,11.5,2.2,123.7,10.69,1.8,7.7,17.5
"265",34599,10.1,0,86.3,10.7,1.7,111.5,9.64,0.9,6.5,16.7
"266",34600,12,0,81.6,11.4,2.6,158.5,13.7,1.9,4.2,18.8
"267",34601,13.7,0.6,84.5,13.2,2.4,152.5,13.18,2,8.9,20.5
"268",34602,14.1,0,89.9,14.4,1.7,68.4,5.91,1.2,11.5,18.2
"269",34603,13.8,0,92.4,14.6,1.2,90.4,7.81,1.5,11.6,17.9
"270",34604,13.4,0.8,83,12.7,2.6,63.7,5.5,3.4,11,16.6
"271",34605,10.6,0,77.1,9.8,2.9,144.4,12.48,2.7,6.9,15.7
"272",34606,13.5,0,78.8,12.1,3.3,35.6,3.08,3.6,9.3,15.2
"273",34607,11.8,0,79.5,10.9,2.8,44.4,3.84,2,9.7,15.3
"274",34608,10.1,0.2,80.1,9.9,2.5,76.5,6.61,2.4,7.1,14.4
"275",34609,10.7,1.5,90.5,11.6,1.2,38.1,3.29,1.4,6.2,12.6
"276",34610,9,5.5,84.6,9.7,1.8,33.5,2.9,3.4,6.4,13.1
"277",34611,4.8,4.1,83.2,7.1,1.4,127.7,11.03,3.3,2,9.8
"278",34612,4.6,0,83.2,7.1,1.4,109.8,9.48,3.1,2.3,10.1
